category,comment,director,ranking,rate,region,score_number,title,year
剧情,人言可畏。,"托马斯·温特伯格 ,Thomas Vinterberg",99,9.1,丹麦 瑞典,236972,"狩猎,Jagten,谎言的烙印(台)  /  诬网(港)",2012
剧情,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,"泷田洋二郎 ,Yôjirô Takita",100,8.8,日本,440068,"入殓师,おくりびと,礼仪师之奏鸣曲(港)  /  礼仪师(台)",2008
剧情 爱情,一场华丽的意淫。,"姜文 ,Wen Jiang",101,8.8,中国大陆 中国香港,437132,"阳光灿烂的日子,In the Heat of the Sun",1994
剧情 爱情,寂寞没有期限。,"王家卫 ,Kar Wai Wong",102,8.7,中国香港,549287,"重庆森林,重慶森林,Chungking Express",1994
剧情 爱情 同性,沉醉在电影的情感和视听氛围中无法自拔。,"卢卡·瓜达尼诺 ,Luca Guadagnino",103,8.9,意大利 法国 巴西 美国 荷兰 德国,419965,"请以你的名字呼唤我,Call Me by Your Name,以你的名字呼唤我(港 / 台) ",2017
剧情 悬疑 惊悚,深入内心的恐怖，出人意料的结局。,"M·奈特·沙马兰 ,M. Night Shyamalan",104,8.9,美国,376106,"第六感,The Sixth Sense,灵异第六感  /  鬼眼",1999
奇幻 冒险,10年的完美句点。,"大卫·叶茨 ,David Yates",105,8.8,美国 英国,504812,"哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,哈利波特7：死神的圣物2(港 / 台) ",2011
剧情,那些静得只能听见呼吸的日子里，你明白孤独即生活。,"森淳一 ,Junichi Mori",106,9.0,日本,281265,"小森林 夏秋篇,リトル・フォレスト 夏・秋,小森食光 / 夏秋篇(台) ",2014
剧情 喜剧 家庭,《我是山姆》的《美丽人生》。,"李焕庆 ,Hwan-kyeong Lee",107,8.9,韩国,347909,"7号房的礼物,7번방의 선물,戆爸的礼物(港)  /  7号囚房的礼物",2013
剧情 犯罪 悬疑 惊悚,年度最佳date movie。,"大卫·芬奇 ,David Fincher",108,8.7,美国,618587,"消失的爱人,Gone Girl,失踪的女孩  /  失踪女孩",2014
动画 悬疑 科幻 惊悚,梦的勾结。,"今敏 ,Satoshi Kon",109,9.0,日本,262175,"红辣椒,パプリカ,盗梦侦探  /  帕布莉卡",2006
剧情 喜剧 动画,你是我最好的朋友，你是我唯一的朋友 。,"亚当·艾略特 ,Adam Elliot",110,8.9,澳大利亚,322868,"玛丽和马克思,Mary and Max,巧克力情缘(台)  /  同是天涯寂寞客",2009
剧情 爱情,缘分是个连绵词，最美不过一瞬。,"理查德·林克莱特 ,Richard Linklater",111,8.8,美国 奥地利 瑞士,400614,"爱在黎明破晓前,Before Sunrise,情留半天(港)  /  爱在黎明破晓时(台)",1995
剧情,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,"森淳一 ,Junichi Mori",112,9.0,日本,247528,"小森林 冬春篇,リトル・フォレスト 冬・春,小森食光 / 冬春篇(台) ",2015
剧情 爱情 动画,少女情怀总是诗。,"近藤喜文 ,Yoshifumi Kondo",113,8.9,日本,309900,"侧耳倾听,耳をすませば,心之谷(台)  /  梦幻街少女(港)",1995
剧情 惊悚,没有一人完全善，也没有一人完全恶。,"中岛哲也 ,Tetsuya Nakashima",114,8.7,日本,522773,"告白,自白  /  母亲",2010
剧情 爱情 家庭,我们都曾经是一一。,"杨德昌 ,Edward Yang",115,9.0,中国台湾 日本,241050,"一一,Yi yi  /  Yi yi: A One and a Two",2000
剧情 家庭 奇幻 冒险,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,"蒂姆·波顿 ,Tim Burton",116,8.8,美国,404710,"大鱼,Big Fish,大鱼奇缘(港)  /  大智若鱼(台)",2003
剧情 喜剧,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,"姜炯哲 ,Hyeong-Cheol Kang",117,8.8,韩国,440557,"阳光姐妹淘,써니,阳光姊妹淘(港)  /  桑尼",2011
喜剧 爱情 古装,华太师是黄霑，吴镇宇四大才子之一。,"李力持 ,Lik-Chi Lee",118,8.6,中国香港,687565,"唐伯虎点秋香,唐伯虎點秋香,Flirting Scholar",1993
剧情 动作 科幻 犯罪 惊悚,诺兰就是保证。,"克里斯托弗·诺兰 ,Christopher Nolan",119,8.8,美国 英国,492799,"蝙蝠侠：黑暗骑士崛起,The Dark Knight Rises,蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台)",2012
喜剧 奇幻 武侠 古装,百看不厌。 ,"刘镇伟 ,Jeffrey Lau",120,8.7,中国香港,450793,"射雕英雄传之东成西就,射鵰英雄傳之東成西就,东成西就  /  大英雄 (日本)",1993
爱情 奇幻 武侠 古装,两张绝世的脸。 ,"程小东 ,Siu-Tung Ching",121,8.7,中国香港,486909,"倩女幽魂,倩女幽魂(87版)  /  倩女幽魂：妖魔道",1987
剧情,穷尽一生，我们要学会的，不过是彼此拥抱。,"托尼·凯耶 ,Tony Kaye",122,8.9,美国,311510,"超脱,Detachment,人间师格(台)",2011
剧情 爱情,相逢只要一瞬间，等待却像是一辈子。,"陈可辛 ,Peter Chan",123,8.8,中国香港,354566,"甜蜜蜜,Comrades: Almost a Love Story",1996
动画 奇幻 冒险,和谐的生活离不开摸头与被摸头。,"迪恩·德布洛斯 ,Dean DeBlois ",124,8.7,美国,522977,"驯龙高手,How to Train Your Dragon,驯龙记(港)",2010
剧情 爱情 动画 奇幻,触不到的恋人。,"大森贵弘 ,Takahiro Omori",125,8.9,日本,331198,"萤火之森,蛍火の杜へ,萤火之社  /  Hotarubi no mori e",2011
剧情 犯罪 悬疑,恐怖分子的“秋菊打官司”。,"金秉祐 ,Byeong-woo Kim",126,8.8,韩国,427757,"恐怖直播,더 테러 라이브,死亡“动”新闻(港)  /  恐怖攻击直播(台)",2013
剧情 喜剧,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,"北野武 ,Takeshi Kitano",127,8.8,日本,347323,"菊次郎的夏天,菊次郎の夏,Kikujirô no natsu  /  菊次郎的夏天",1999
